Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2021 00:00;01.01.2021 00:15;11.243,25;10.108,00;79,50
01.01.2021 00:15;01.01.2021 00:30;11.190,50;10.083,25;82,50
01.01.2021 00:30;01.01.2021 00:45;11.104,75;10.056,75;108,50
01.01.2021 00:45;01.01.2021 01:00;11.030,75;10.003,75;117,75
01.01.2021 01:00;01.01.2021 01:15;10.874,25;9.845,25;57,75
01.01.2021 01:15;01.01.2021 01:30;10.746,00;9.741,25;52,50
01.01.2021 01:30;01.01.2021 01:45;10.618,00;9.651,50;96,25
01.01.2021 01:45;01.01.2021 02:00;10.567,75;9.632,00;112,00
01.01.2021 02:00;01.01.2021 02:15;10.400,75;9.490,00;376,75
01.01.2021 02:15;01.01.2021 02:30;10.301,50;9.408,00;394,00
01.01.2021 02:30;01.01.2021 02:45;10.214,50;9.342,50;492,75
01.01.2021 02:45;01.01.2021 03:00;10.133,00;9.287,00;549,25
01.01.2021 03:00;01.01.2021 03:15;10.093,00;9.270,25;766,50
01.01.2021 03:15;01.01.2021 03:30;10.072,25;9.284,75;849,25
01.01.2021 03:30;01.01.2021 03:45;10.052,50;9.296,50;981,75
01.01.2021 03:45;01.01.2021 04:00;10.016,00;9.275,50;1.077,25
01.01.2021 04:00;01.01.2021 04:15;10.083,25;9.358,00;1.153,25
01.01.2021 04:15;01.01.2021 04:30;10.067,50;9.364,25;1.073,00
01.01.2021 04:30;01.01.2021 04:45;10.059,50;9.371,75;1.034,75
01.01.2021 04:45;01.01.2021 05:00;10.000,25;9.327,75;1.067,75
01.01.2021 05:00;01.01.2021 05:15;9.973,00;9.309,75;791,75
01.01.2021 05:15;01.01.2021 05:30;9.869,00;9.224,00;826,50
01.01.2021 05:30;01.01.2021 05:45;9.862,75;9.220,25;866,00
01.01.2021 05:45;01.01.2021 06:00;9.875,50;9.253,50;1.003,00
01.01.2021 06:00;01.01.2021 06:15;9.763,50;9.124,00;799,75
01.01.2021 06:15;01.01.2021 06:30;9.733,00;9.092,75;847,50
01.01.2021 06:30;01.01.2021 06:45;9.720,00;9.083,50;744,00
01.01.2021 06:45;01.01.2021 07:00;9.742,75;9.138,00;695,25
01.01.2021 07:00;01.01.2021 07:15;9.788,50;9.206,00;629,00
