Datum von;Datum bis;Biomasse [MWh] Originalauflösungen;Wasserkraft [MWh] Originalauflösungen;Wind Offshore [MWh] Originalauflösungen;Wind Onshore [MWh] Originalauflösungen;Photovoltaik [MWh] Originalauflösungen;Sonstige Erneuerbare [MWh] Originalauflösungen;Kernenergie [MWh] Originalauflösungen;Braunkohle [MWh] Originalauflösungen;Steinkohle [MWh] Originalauflösungen;Erdgas [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Sonstige Konventionelle [MWh] Originalauflösungen
05.10.2024 00:00;05.10.2024 00:15;1.036,00;573,25;0,00;1.401,50;0,00;23,25;-;2.899,00;1.137,50;864,75;71,00;343,00
05.10.2024 00:15;05.10.2024 00:30;1.033,75;539,25;0,00;1.374,75;0,00;23,25;-;2.897,75;1.078,25;855,00;49,50;334,75
05.10.2024 00:30;05.10.2024 00:45;1.030,25;540,25;0,00;1.328,75;0,00;23,25;-;2.891,50;1.024,75;855,25;27,75;336,75
05.10.2024 00:45;05.10.2024 01:00;1.030,25;539,00;0,00;1.298,00;0,00;23,25;-;2.883,75;986,00;859,00;21,50;336,75
05.10.2024 01:00;05.10.2024 01:15;1.031,50;543,00;0,00;1.259,75;0,00;22,50;-;2.885,25;965,50;839,00;36,50;336,75
05.10.2024 01:15;05.10.2024 01:30;1.029,50;539,00;0,25;1.231,00;0,00;22,50;-;2.882,75;922,25;837,75;14,75;336,75
05.10.2024 01:30;05.10.2024 01:45;1.030,25;536,50;1,00;1.204,00;0,00;22,50;-;2.873,25;871,00;837,50;13,25;337,00
05.10.2024 01:45;05.10.2024 02:00;1.033,00;526,25;1,25;1.169,50;0,00;22,50;-;2.888,75;811,25;837,75;17,00;336,25
05.10.2024 02:00;05.10.2024 02:15;1.036,25;531,50;1,50;1.131,00;0,00;22,50;-;2.889,50;686,25;831,00;45,00;334,50
05.10.2024 02:15;05.10.2024 02:30;1.037,00;525,25;1,75;1.098,00;0,00;22,50;-;2.879,75;643,75;830,50;28,25;332,75
05.10.2024 02:30;05.10.2024 02:45;1.037,00;529,00;2,75;1.056,75;0,00;22,50;-;2.888,50;637,75;830,75;15,00;331,25
05.10.2024 02:45;05.10.2024 03:00;1.039,50;533,50;4,25;1.020,75;0,00;22,50;-;2.883,50;612,50;820,25;18,25;331,25
05.10.2024 03:00;05.10.2024 03:15;1.048,00;547,00;3,25;985,75;0,00;22,50;-;2.898,50;604,00;823,50;25,00;330,50
