Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2019 00:00;01.01.2019 00:15;11.002,25;5.368,75;433,00
01.01.2019 00:15;01.01.2019 00:30;10.865,50;5.041,25;280,00
01.01.2019 00:30;01.01.2019 00:45;10.733,75;4.728,50;267,75
01.01.2019 00:45;01.01.2019 01:00;10.672,25;4.609,50;292,25
01.01.2019 01:00;01.01.2019 01:15;10.595,75;4.481,75;236,25
01.01.2019 01:15;01.01.2019 01:30;10.470,00;4.227,00;253,25
01.01.2019 01:30;01.01.2019 01:45;10.352,50;3.955,50;415,00
01.01.2019 01:45;01.01.2019 02:00;10.213,00;3.733,25;506,25
01.01.2019 02:00;01.01.2019 02:15;10.142,00;3.729,00;500,00
01.01.2019 02:15;01.01.2019 02:30;10.045,25;3.608,00;563,00
01.01.2019 02:30;01.01.2019 02:45;9.977,75;3.626,75;615,75
01.01.2019 02:45;01.01.2019 03:00;9.920,00;3.447,75;798,00
01.01.2019 03:00;01.01.2019 03:15;9.887,50;3.206,00;764,25
01.01.2019 03:15;01.01.2019 03:30;9.801,50;3.055,25;747,50
01.01.2019 03:30;01.01.2019 03:45;9.794,50;2.946,00;815,50
01.01.2019 03:45;01.01.2019 04:00;9.786,25;2.872,50;957,25
01.01.2019 04:00;01.01.2019 04:15;9.785,25;2.668,50;922,75
01.01.2019 04:15;01.01.2019 04:30;9.769,00;2.552,50;900,25
01.01.2019 04:30;01.01.2019 04:45;9.758,50;2.470,75;924,00
01.01.2019 04:45;01.01.2019 05:00;9.720,00;2.364,00;968,75
01.01.2019 05:00;01.01.2019 05:15;9.724,25;2.212,25;1.081,00
01.01.2019 05:15;01.01.2019 05:30;9.654,25;2.097,25;1.161,75
01.01.2019 05:30;01.01.2019 05:45;9.635,25;2.023,75;1.237,50
01.01.2019 05:45;01.01.2019 06:00;9.556,75;1.959,00;1.317,25
01.01.2019 06:00;01.01.2019 06:15;9.470,00;1.704,00;1.315,00
01.01.2019 06:15;01.01.2019 06:30;9.473,75;1.626,00;1.343,75
01.01.2019 06:30;01.01.2019 06:45;9.515,00;1.571,00;1.358,25
01.01.2019 06:45;01.01.2019 07:00;9.588,75;1.594,50;1.373,25
01.01.2019 07:00;01.01.2019 07:15;9.618,00;1.623,50;1.341,75
01.01.2019 07:15;01.01.2019 07:30;9.673,75;1.585,25;1.344,00
01.01.2019 07:30;01.01.2019 07:45;9.689,50;1.551,25;1.328,00
01.01.2019 07:45;01.01.2019 08:00;9.774,75;1.636,75;1.325,50
01.01.2019 08:00;01.01.2019 08:15;9.787,75;1.541,50;1.083,50
01.01.2019 08:15;01.01.2019 08:30;9.824,75;1.545,25;997,50
01.01.2019 08:30;01.01.2019 08:45;9.933,25;1.609,25;969,25
01.01.2019 08:45;01.01.2019 09:00;10.029,50;1.659,00;930,00
01.01.2019 09:00;01.01.2019 09:15;10.264,75;1.892,50;1.091,75
01.01.2019 09:15;01.01.2019 09:30;10.433,00;2.061,75;1.027,75
01.01.2019 09:30;01.01.2019 09:45;10.630,50;2.308,50;865,00
01.01.2019 09:45;01.01.2019 10:00;10.791,00;2.328,50;849,75
01.01.2019 10:00;01.01.2019 10:15;10.981,25;2.344,75;804,75
01.01.2019 10:15;01.01.2019 10:30;11.134,50;2.380,00;719,75
01.01.2019 10:30;01.01.2019 10:45;11.312,00;2.434,50;611,75
01.01.2019 10:45;01.01.2019 11:00;11.438,75;2.441,25;520,00
01.01.2019 11:00;01.01.2019 11:15;11.700,00;2.429,75;576,50
01.01.2019 11:15;01.01.2019 11:30;11.898,25;2.461,25;539,75
01.01.2019 11:30;01.01.2019 11:45;12.071,25;2.514,50;469,00
01.01.2019 11:45;01.01.2019 12:00;12.115,75;2.520,50;437,25
01.01.2019 12:00;01.01.2019 12:15;12.234,75;2.642,75;448,75
01.01.2019 12:15;01.01.2019 12:30;12.299,50;2.743,00;443,25
01.01.2019 12:30;01.01.2019 12:45;12.282,25;2.673,50;476,50
01.01.2019 12:45;01.01.2019 13:00;12.300,25;2.695,25;505,00
01.01.2019 13:00;01.01.2019 13:15;12.248,25;2.622,00;232,50
