Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2016 00:00;01.01.2016 00:15;11.004,75;8.753,75;376,50
01.01.2016 00:15;01.01.2016 00:30;10.956,75;8.760,25;360,50
01.01.2016 00:30;01.01.2016 00:45;10.913,50;8.760,25;351,25
01.01.2016 00:45;01.01.2016 01:00;10.856,75;8.728,25;369,00
01.01.2016 01:00;01.01.2016 01:15;10.695,50;8.563,25;409,50
01.01.2016 01:15;01.01.2016 01:30;10.514,25;8.384,75;447,75
01.01.2016 01:30;01.01.2016 01:45;10.411,75;8.269,00;573,00
01.01.2016 01:45;01.01.2016 02:00;10.340,50;8.198,25;588,25
01.01.2016 02:00;01.01.2016 02:15;10.224,25;8.086,00;530,00
01.01.2016 02:15;01.01.2016 02:30;10.110,00;7.982,50;610,00
01.01.2016 02:30;01.01.2016 02:45;9.994,50;7.876,75;669,75
01.01.2016 02:45;01.01.2016 03:00;9.893,75;7.777,75;701,50
01.01.2016 03:00;01.01.2016 03:15;9.951,25;7.855,50;740,00
01.01.2016 03:15;01.01.2016 03:30;9.825,25;7.712,25;826,25
01.01.2016 03:30;01.01.2016 03:45;9.762,25;7.652,00;854,50
01.01.2016 03:45;01.01.2016 04:00;9.704,25;7.609,50;958,00
01.01.2016 04:00;01.01.2016 04:15;9.741,00;7.640,00;963,50
01.01.2016 04:15;01.01.2016 04:30;9.696,25;7.575,50;972,00
01.01.2016 04:30;01.01.2016 04:45;9.657,00;7.555,25;948,00
01.01.2016 04:45;01.01.2016 05:00;9.655,25;7.613,50;847,50
01.01.2016 05:00;01.01.2016 05:15;9.663,25;7.720,75;806,75
01.01.2016 05:15;01.01.2016 05:30;9.556,75;7.697,50;808,50
01.01.2016 05:30;01.01.2016 05:45;9.482,50;7.661,00;830,75
01.01.2016 05:45;01.01.2016 06:00;9.357,50;7.576,50;829,00
01.01.2016 06:00;01.01.2016 06:15;9.209,50;7.477,00;645,75
01.01.2016 06:15;01.01.2016 06:30;9.131,75;7.443,00;614,00
01.01.2016 06:30;01.01.2016 06:45;9.170,50;7.551,25;589,00
01.01.2016 06:45;01.01.2016 07:00;9.177,25;7.595,75;517,25
01.01.2016 07:00;01.01.2016 07:15;9.178,50;7.685,00;352,50
01.01.2016 07:15;01.01.2016 07:30;9.239,25;7.828,25;241,25
01.01.2016 07:30;01.01.2016 07:45;9.223,00;7.835,25;245,50
01.01.2016 07:45;01.01.2016 08:00;9.284,25;7.974,25;223,25
01.01.2016 08:00;01.01.2016 08:15;9.291,25;8.055,75;331,25
01.01.2016 08:15;01.01.2016 08:30;9.284,00;8.093,25;276,75
01.01.2016 08:30;01.01.2016 08:45;9.419,50;8.252,25;186,75
01.01.2016 08:45;01.01.2016 09:00;9.609,25;8.437,25;95,75
01.01.2016 09:00;01.01.2016 09:15;9.666,75;8.503,50;452,75
01.01.2016 09:15;01.01.2016 09:30;9.812,00;8.667,75;422,75
01.01.2016 09:30;01.01.2016 09:45;10.002,75;8.851,25;314,75
01.01.2016 09:45;01.01.2016 10:00;10.125,25;8.899,50;310,50
01.01.2016 10:00;01.01.2016 10:15;10.278,00;9.012,00;344,75
01.01.2016 10:15;01.01.2016 10:30;10.455,00;9.154,75;320,50
01.01.2016 10:30;01.01.2016 10:45;10.666,25;9.338,75;236,50
01.01.2016 10:45;01.01.2016 11:00;10.919,00;9.562,75;200,75
01.01.2016 11:00;01.01.2016 11:15;11.057,25;9.680,75;292,00
01.01.2016 11:15;01.01.2016 11:30;11.268,75;9.871,50;246,50
01.01.2016 11:30;01.01.2016 11:45;11.463,50;10.066,50;187,75
