Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2020 00:00;01.01.2020 00:15;10.970,50;9.369,00;48,75
01.01.2020 00:15;01.01.2020 00:30;10.910,00;9.313,25;56,25
01.01.2020 00:30;01.01.2020 00:45;10.832,75;9.170,25;71,50
01.01.2020 00:45;01.01.2020 01:00;10.787,25;9.064,00;99,25
01.01.2020 01:00;01.01.2020 01:15;10.754,25;9.010,75;71,25
01.01.2020 01:15;01.01.2020 01:30;10.701,50;8.977,50;103,75
01.01.2020 01:30;01.01.2020 01:45;10.607,25;8.851,75;111,50
01.01.2020 01:45;01.01.2020 02:00;10.535,75;8.739,25;195,25
01.01.2020 02:00;01.01.2020 02:15;10.491,50;8.660,50;106,00
01.01.2020 02:15;01.01.2020 02:30;10.414,75;8.571,50;172,50
01.01.2020 02:30;01.01.2020 02:45;10.311,25;8.451,25;187,75
01.01.2020 02:45;01.01.2020 03:00;10.246,25;8.373,50;215,25
01.01.2020 03:00;01.01.2020 03:15;10.175,50;8.320,75;156,00
01.01.2020 03:15;01.01.2020 03:30;10.094,25;8.228,25;174,00
01.01.2020 03:30;01.01.2020 03:45;10.031,50;8.143,50;201,25
01.01.2020 03:45;01.01.2020 04:00;9.978,25;8.046,50;220,00
01.01.2020 04:00;01.01.2020 04:15;10.094,00;8.159,00;295,25
01.01.2020 04:15;01.01.2020 04:30;10.063,50;8.116,25;355,25
01.01.2020 04:30;01.01.2020 04:45;10.065,25;8.104,50;385,50
01.01.2020 04:45;01.01.2020 05:00;10.042,00;8.082,25;436,00
01.01.2020 05:00;01.01.2020 05:15;10.072,50;8.116,25;415,25
01.01.2020 05:15;01.01.2020 05:30;10.003,25;8.055,75;356,00
01.01.2020 05:30;01.01.2020 05:45;10.003,25;8.043,00;404,00
01.01.2020 05:45;01.01.2020 06:00;9.938,75;7.997,00;479,50
01.01.2020 06:00;01.01.2020 06:15;9.758,00;7.831,00;392,00
01.01.2020 06:15;01.01.2020 06:30;9.725,50;7.835,25;391,50
01.01.2020 06:30;01.01.2020 06:45;9.714,75;7.829,75;350,75
01.01.2020 06:45;01.01.2020 07:00;9.761,00;7.890,25;222,00
01.01.2020 07:00;01.01.2020 07:15;9.817,25;7.939,50;195,50
01.01.2020 07:15;01.01.2020 07:30;9.883,50;7.995,50;238,50
01.01.2020 07:30;01.01.2020 07:45;9.875,00;8.011,50;174,75
01.01.2020 07:45;01.01.2020 08:00;9.888,50;8.043,75;164,75
01.01.2020 08:00;01.01.2020 08:15;9.950,50;8.119,00;318,00
01.01.2020 08:15;01.01.2020 08:30;10.001,25;8.131,50;427,00
01.01.2020 08:30;01.01.2020 08:45;10.040,00;8.082,00;427,50
01.01.2020 08:45;01.01.2020 09:00;10.186,00;8.103,50;412,50
01.01.2020 09:00;01.01.2020 09:15;10.356,50;8.066,00;359,25
01.01.2020 09:15;01.01.2020 09:30;10.504,00;8.002,50;354,50
01.01.2020 09:30;01.01.2020 09:45;10.642,00;7.921,00;380,75
