Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2018 00:00;01.01.2018 00:15;11.488,00;3.793,75;266,50
01.01.2018 00:15;01.01.2018 00:30;11.360,50;3.515,25;342,00
01.01.2018 00:30;01.01.2018 00:45;11.269,25;3.347,75;358,00
01.01.2018 00:45;01.01.2018 01:00;11.224,25;3.267,50;373,25
01.01.2018 01:00;01.01.2018 01:15;11.154,00;3.084,50;371,25
01.01.2018 01:15;01.01.2018 01:30;11.117,25;3.024,75;419,50
01.01.2018 01:30;01.01.2018 01:45;10.986,75;2.799,25;440,75
01.01.2018 01:45;01.01.2018 02:00;10.920,75;2.634,50;502,75
01.01.2018 02:00;01.01.2018 02:15;10.828,75;2.497,50;576,50
01.01.2018 02:15;01.01.2018 02:30;10.761,75;2.413,00;646,75
01.01.2018 02:30;01.01.2018 02:45;10.796,50;2.511,25;760,50
01.01.2018 02:45;01.01.2018 03:00;10.686,75;2.385,00;840,25
01.01.2018 03:00;01.01.2018 03:15;10.662,25;2.191,50;906,00
01.01.2018 03:15;01.01.2018 03:30;10.612,50;2.057,00;981,75
01.01.2018 03:30;01.01.2018 03:45;10.563,25;2.014,50;962,75
01.01.2018 03:45;01.01.2018 04:00;10.554,25;1.973,25;986,25
01.01.2018 04:00;01.01.2018 04:15;10.606,00;2.050,00;1.258,50
01.01.2018 04:15;01.01.2018 04:30;10.579,50;2.005,75;1.307,50
01.01.2018 04:30;01.01.2018 04:45;10.598,00;2.053,75;1.274,50
01.01.2018 04:45;01.01.2018 05:00;10.587,00;2.036,50;1.296,25
01.01.2018 05:00;01.01.2018 05:15;10.629,75;1.937,00;1.307,00
01.01.2018 05:15;01.01.2018 05:30;10.560,25;1.847,25;1.334,75
01.01.2018 05:30;01.01.2018 05:45;10.515,50;1.802,00;1.388,50
01.01.2018 05:45;01.01.2018 06:00;10.429,25;1.736,00;1.410,75
01.01.2018 06:00;01.01.2018 06:15;10.283,25;1.623,75;1.305,50
01.01.2018 06:15;01.01.2018 06:30;10.242,75;1.680,00;1.339,00
01.01.2018 06:30;01.01.2018 06:45;10.253,50;1.782,75;1.303,75
01.01.2018 06:45;01.01.2018 07:00;10.297,50;1.797,50;1.307,50
01.01.2018 07:00;01.01.2018 07:15;10.338,00;1.882,25;1.383,50
01.01.2018 07:15;01.01.2018 07:30;10.367,50;1.889,50;1.359,50
01.01.2018 07:30;01.01.2018 07:45;10.438,25;2.108,00;1.277,75
01.01.2018 07:45;01.01.2018 08:00;10.513,50;2.141,00;1.292,00
01.01.2018 08:00;01.01.2018 08:15;10.594,25;2.288,00;1.271,25
01.01.2018 08:15;01.01.2018 08:30;10.610,00;2.241,50;1.251,75
01.01.2018 08:30;01.01.2018 08:45;10.709,00;2.348,00;1.207,00
01.01.2018 08:45;01.01.2018 09:00;10.822,50;2.388,50;1.155,00
01.01.2018 09:00;01.01.2018 09:15;11.056,25;2.464,25;1.156,00
01.01.2018 09:15;01.01.2018 09:30;11.181,25;2.399,50;1.112,25
01.01.2018 09:30;01.01.2018 09:45;11.354,00;2.486,50;1.030,25
01.01.2018 09:45;01.01.2018 10:00;11.510,50;2.488,25;997,00
01.01.2018 10:00;01.01.2018 10:15;11.707,00;2.405,00;752,25
01.01.2018 10:15;01.01.2018 10:30;11.850,50;2.273,50;728,50
01.01.2018 10:30;01.01.2018 10:45;12.008,75;2.228,75;683,50
01.01.2018 10:45;01.01.2018 11:00;12.136,00;2.191,50;693,50
01.01.2018 11:00;01.01.2018 11:15;12.364,75;2.196,00;623,00
01.01.2018 11:15;01.01.2018 11:30;12.523,00;2.171,75;571,75
01.01.2018 11:30;01.01.2018 11:45;12.674,25;2.330,50;484,75
01.01.2018 11:45;01.01.2018 12:00;12.761,75;2.454,25;417,00
01.01.2018 12:00;01.01.2018 12:15;12.869,75;2.527,50;268,50
01.01.2018 12:15;01.01.2018 12:30;12.938,75;2.668,00;270,00
01.01.2018 12:30;01.01.2018 12:45;13.029,50;2.803,50;240,75
01.01.2018 12:45;01.01.2018 13:00;13.019,00;2.933,25;227,00
01.01.2018 13:00;01.01.2018 13:15;12.877,75;2.962,25;250,50
01.01.2018 13:15;01.01.2018 13:30;12.717,50;3.088,00;290,75
01.01.2018 13:30;01.01.2018 13:45;12.660,25;3.290,75;331,75
01.01.2018 13:45;01.01.2018 14:00;12.508,75;3.462,00;301,50
01.01.2018 14:00;01.01.2018 14:15;12.396,00;3.753,50;705,00
01.01.2018 14:15;01.01.2018 14:30;12.347,50;3.988,50;629,75
01.01.2018 14:30;01.01.2018 14:45;12.401,50;4.378,25;518,50
01.01.2018 14:45;01.01.2018 15:00;12.372,25;4.740,25;495,00
01.01.2018 15:00;01.01.2018 15:15;12.365,00;4.916,75;588,50
01.01.2018 15:15;01.01.2018 15:30;12.395,75;5.225,25;498,50
01.01.2018 15:30;01.01.2018 15:45;12.431,50;5.549,25;286,50
01.01.2018 15:45;01.01.2018 16:00;12.455,00;5.974,00;204,75
01.01.2018 16:00;01.01.2018 16:15;12.592,00;6.398,75;187,25
01.01.2018 16:15;01.01.2018 16:30;12.814,75;6.835,50;158,00
01.01.2018 16:30;01.01.2018 16:45;13.048,75;7.267,25;5,00
01.01.2018 16:45;01.01.2018 17:00;13.405,50;7.729,25;2,75
01.01.2018 17:00;01.01.2018 17:15;13.744,00;8.148,75;71,25
01.01.2018 17:15;01.01.2018 17:30;13.833,50;8.233,25;51,00
01.01.2018 17:30;01.01.2018 17:45;13.932,25;8.418,50;41,50
01.01.2018 17:45;01.01.2018 18:00;13.965,50;8.540,50;0,00
01.01.2018 18:00;01.01.2018 18:15;14.095,00;8.747,25;57,00
01.01.2018 18:15;01.01.2018 18:30;14.097,25;8.756,50;77,00
01.01.2018 18:30;01.01.2018 18:45;14.107,75;8.836,25;78,25
01.01.2018 18:45;01.01.2018 19:00;14.012,50;8.794,50;80,75
01.01.2018 19:00;01.01.2018 19:15;13.888,75;8.678,00;57,75
01.01.2018 19:15;01.01.2018 19:30;13.780,25;8.586,00;71,50
01.01.2018 19:30;01.01.2018 19:45;13.654,25;8.491,75;74,75
01.01.2018 19:45;01.01.2018 20:00;13.532,50;8.419,25;82,25
01.01.2018 20:00;01.01.2018 20:15;13.351,75;8.361,00;82,00
01.01.2018 20:15;01.01.2018 20:30;13.191,00;8.270,50;92,50
01.01.2018 20:30;01.01.2018 20:45;12.986,25;8.110,50;63,00
01.01.2018 20:45;01.01.2018 21:00;12.797,25;8.035,00;63,25
01.01.2018 21:00;01.01.2018 21:15;12.722,00;7.962,25;26,25
01.01.2018 21:15;01.01.2018 21:30;12.610,75;7.853,25;15,50
01.01.2018 21:30;01.01.2018 21:45;12.545,25;7.778,25;34,75
01.01.2018 21:45;01.01.2018 22:00;12.541,75;7.796,75;49,75
01.01.2018 22:00;01.01.2018 22:15;12.628,75;7.971,50;376,00
01.01.2018 22:15;01.01.2018 22:30;12.511,75;7.903,00;400,75
01.01.2018 22:30;01.01.2018 22:45;12.279,75;7.653,00;435,50
01.01.2018 22:45;01.01.2018 23:00;12.145,75;7.549,50;566,75
01.01.2018 23:00;01.01.2018 23:15;11.945,50;7.418,00;451,25
01.01.2018 23:15;01.01.2018 23:30;11.737,50;7.260,75;513,50
01.01.2018 23:30;01.01.2018 23:45;11.517,25;7.080,75;446,75
01.01.2018 23:45;02.01.2018 00:00;11.243,75;6.861,00;547,50
02.01.2018 00:00;02.01.2018 00:15;11.123,75;6.805,00;1.022,00
02.01.2018 00:15;02.01.2018 00:30;10.914,00;6.643,00;1.283,50
02.01.2018 00:30;02.01.2018 00:45;10.822,75;6.578,50;1.379,00
02.01.2018 00:45;02.01.2018 01:00;10.661,00;6.446,25;1.308,25
02.01.2018 01:00;02.01.2018 01:15;10.525,50;6.296,25;1.386,50
02.01.2018 01:15;02.01.2018 01:30;10.387,25;6.159,75;1.459,00
02.01.2018 01:30;02.01.2018 01:45;10.356,00;6.126,75;1.503,25
02.01.2018 01:45;02.01.2018 02:00;10.321,75;6.123,25;1.508,50
02.01.2018 02:00;02.01.2018 02:15;10.259,75;6.119,50;1.457,25
02.01.2018 02:15;02.01.2018 02:30;10.291,50;6.239,25;1.452,50
02.01.2018 02:30;02.01.2018 02:45;10.293,50;6.257,75;1.432,75
02.01.2018 02:45;02.01.2018 03:00;10.289,75;6.270,75;1.283,50
02.01.2018 03:00;02.01.2018 03:15;10.364,25;6.359,25;933,25
02.01.2018 03:15;02.01.2018 03:30;10.345,50;6.277,25;1.093,50
02.01.2018 03:30;02.01.2018 03:45;10.395,50;6.284,25;1.258,25
02.01.2018 03:45;02.01.2018 04:00;10.449,75;6.346,00;1.311,25
02.01.2018 04:00;02.01.2018 04:15;10.566,00;6.396,75;1.085,50
