Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2017 00:00;01.01.2017 00:15;11.843,25;8.042,25;87,25
01.01.2017 00:15;01.01.2017 00:30;11.799,00;7.982,00;147,00
01.01.2017 00:30;01.01.2017 00:45;11.789,00;7.942,75;172,25
01.01.2017 00:45;01.01.2017 01:00;11.701,25;7.868,25;173,75
01.01.2017 01:00;01.01.2017 01:15;11.637,75;7.801,75;277,25
01.01.2017 01:15;01.01.2017 01:30;11.491,25;7.662,25;339,75
01.01.2017 01:30;01.01.2017 01:45;11.382,50;7.549,75;369,50
01.01.2017 01:45;01.01.2017 02:00;11.302,75;7.491,00;384,00
01.01.2017 02:00;01.01.2017 02:15;11.237,50;7.424,00;107,50
01.01.2017 02:15;01.01.2017 02:30;11.173,25;7.389,75;179,50
01.01.2017 02:30;01.01.2017 02:45;11.073,50;7.344,50;384,00
01.01.2017 02:45;01.01.2017 03:00;10.962,00;7.256,00;444,00
01.01.2017 03:00;01.01.2017 03:15;10.880,00;7.186,00;490,00
01.01.2017 03:15;01.01.2017 03:30;10.815,75;7.123,50;561,75
01.01.2017 03:30;01.01.2017 03:45;10.795,50;7.117,75;574,25
01.01.2017 03:45;01.01.2017 04:00;10.735,50;7.031,50;644,25
01.01.2017 04:00;01.01.2017 04:15;10.726,50;7.008,00;697,00
01.01.2017 04:15;01.01.2017 04:30;10.632,50;6.915,00;624,75
01.01.2017 04:30;01.01.2017 04:45;10.580,50;6.873,50;575,00
01.01.2017 04:45;01.01.2017 05:00;10.489,25;6.747,25;679,00
01.01.2017 05:00;01.01.2017 05:15;10.438,75;6.668,00;660,75
01.01.2017 05:15;01.01.2017 05:30;10.345,50;6.545,25;800,00
01.01.2017 05:30;01.01.2017 05:45;10.236,50;6.430,25;880,00
01.01.2017 05:45;01.01.2017 06:00;10.148,75;6.323,75;966,50
01.01.2017 06:00;01.01.2017 06:15;9.910,75;6.008,75;1.042,25
01.01.2017 06:15;01.01.2017 06:30;9.911,50;6.040,50;1.054,75
01.01.2017 06:30;01.01.2017 06:45;9.913,00;6.054,00;930,50
01.01.2017 06:45;01.01.2017 07:00;9.909,75;6.014,25;834,25
01.01.2017 07:00;01.01.2017 07:15;10.015,25;6.118,75;764,50
01.01.2017 07:15;01.01.2017 07:30;10.036,75;6.183,75;691,50
01.01.2017 07:30;01.01.2017 07:45;10.073,75;6.206,25;595,75
01.01.2017 07:45;01.01.2017 08:00;10.103,25;6.204,00;493,75
01.01.2017 08:00;01.01.2017 08:15;10.147,50;6.256,25;496,75
01.01.2017 08:15;01.01.2017 08:30;10.173,50;6.266,75;446,00
01.01.2017 08:30;01.01.2017 08:45;10.257,50;6.298,75;421,75
01.01.2017 08:45;01.01.2017 09:00;10.409,25;6.341,50;397,75
01.01.2017 09:00;01.01.2017 09:15;10.618,50;6.426,75;451,25
01.01.2017 09:15;01.01.2017 09:30;10.768,50;6.453,50;400,25
01.01.2017 09:30;01.01.2017 09:45;10.958,25;6.535,75;406,25
01.01.2017 09:45;01.01.2017 10:00;11.106,75;6.555,75;383,25
01.01.2017 10:00;01.01.2017 10:15;11.245,25;6.594,50;362,00
01.01.2017 10:15;01.01.2017 10:30;11.431,75;6.729,50;214,00
01.01.2017 10:30;01.01.2017 10:45;11.577,75;6.894,25;193,75
01.01.2017 10:45;01.01.2017 11:00;11.758,50;7.034,00;114,75
01.01.2017 11:00;01.01.2017 11:15;11.890,00;7.096,00;299,00
01.01.2017 11:15;01.01.2017 11:30;12.157,50;7.287,25;237,50
01.01.2017 11:30;01.01.2017 11:45;12.249,75;7.264,50;280,00
01.01.2017 11:45;01.01.2017 12:00;12.295,50;7.268,75;289,25
01.01.2017 12:00;01.01.2017 12:15;12.401,00;7.348,25;241,75
01.01.2017 12:15;01.01.2017 12:30;12.388,75;7.361,50;254,25
01.01.2017 12:30;01.01.2017 12:45;12.375,00;7.453,75;212,25
01.01.2017 12:45;01.01.2017 13:00;12.291,00;7.497,25;141,75
01.01.2017 13:00;01.01.2017 13:15;12.188,00;7.518,00;181,25
01.01.2017 13:15;01.01.2017 13:30;12.089,25;7.508,25;190,75
01.01.2017 13:30;01.01.2017 13:45;12.060,50;7.620,75;151,75
01.01.2017 13:45;01.01.2017 14:00;12.008,75;7.765,00;60,75
01.01.2017 14:00;01.01.2017 14:15;12.005,50;8.023,50;19,50
01.01.2017 14:15;01.01.2017 14:30;11.971,75;8.248,25;12,75
01.01.2017 14:30;01.01.2017 14:45;11.910,50;8.492,00;13,25
01.01.2017 14:45;01.01.2017 15:00;11.854,75;8.672,50;13,50
01.01.2017 15:00;01.01.2017 15:15;11.984,50;9.055,00;30,50
01.01.2017 15:15;01.01.2017 15:30;11.988,50;9.295,25;12,50
01.01.2017 15:30;01.01.2017 15:45;12.039,00;9.502,25;10,50
01.01.2017 15:45;01.01.2017 16:00;12.076,50;9.666,25;10,50
01.01.2017 16:00;01.01.2017 16:15;12.261,25;9.939,75;173,25
01.01.2017 16:15;01.01.2017 16:30;12.420,00;10.158,25;98,00
01.01.2017 16:30;01.01.2017 16:45;12.696,75;10.446,25;36,75
01.01.2017 16:45;01.01.2017 17:00;13.078,25;10.779,50;36,00
01.01.2017 17:00;01.01.2017 17:15;13.476,00;11.137,75;2,00
01.01.2017 17:15;01.01.2017 17:30;13.672,25;11.297,00;0,00
01.01.2017 17:30;01.01.2017 17:45;13.748,25;11.359,25;0,25
01.01.2017 17:45;01.01.2017 18:00;13.799,25;11.383,25;0,00
01.01.2017 18:00;01.01.2017 18:15;13.890,25;11.419,50;0,25
01.01.2017 18:15;01.01.2017 18:30;13.899,75;11.457,00;0,00
01.01.2017 18:30;01.01.2017 18:45;13.891,25;11.444,50;0,25
01.01.2017 18:45;01.01.2017 19:00;13.847,00;11.409,75;0,00
01.01.2017 19:00;01.01.2017 19:15;13.837,00;11.375,75;0,25
01.01.2017 19:15;01.01.2017 19:30;13.756,25;11.250,25;0,75
01.01.2017 19:30;01.01.2017 19:45;13.669,50;11.111,50;1,00
01.01.2017 19:45;01.01.2017 20:00;13.541,50;10.892,50;0,75
01.01.2017 20:00;01.01.2017 20:15;13.426,25;10.692,50;3,50
01.01.2017 20:15;01.01.2017 20:30;13.237,75;10.499,00;0,00
01.01.2017 20:30;01.01.2017 20:45;13.057,00;10.293,00;1,25
01.01.2017 20:45;01.01.2017 21:00;12.916,50;10.122,50;4,50
01.01.2017 21:00;01.01.2017 21:15;12.864,75;10.024,25;29,00
01.01.2017 21:15;01.01.2017 21:30;12.793,00;9.944,00;35,00
01.01.2017 21:30;01.01.2017 21:45;12.718,75;9.834,50;77,75
01.01.2017 21:45;01.01.2017 22:00;12.728,75;9.784,50;178,00
01.01.2017 22:00;01.01.2017 22:15;12.908,50;9.900,75;141,75
01.01.2017 22:15;01.01.2017 22:30;12.812,00;9.799,00;160,50
01.01.2017 22:30;01.01.2017 22:45;12.641,50;9.553,00;154,50
01.01.2017 22:45;01.01.2017 23:00;12.508,50;9.365,75;271,50
01.01.2017 23:00;01.01.2017 23:15;12.301,50;9.238,50;210,00
01.01.2017 23:15;01.01.2017 23:30;12.192,50;9.174,00;301,00
01.01.2017 23:30;01.01.2017 23:45;11.967,25;8.944,00;408,75
01.01.2017 23:45;02.01.2017 00:00;11.794,50;8.750,25;542,50
02.01.2017 00:00;02.01.2017 00:15;11.638,75;8.593,00;542,25
02.01.2017 00:15;02.01.2017 00:30;11.462,00;8.397,25;619,50
02.01.2017 00:30;02.01.2017 00:45;11.340,25;8.232,75;757,00
02.01.2017 00:45;02.01.2017 01:00;11.097,00;7.969,50;855,75
02.01.2017 01:00;02.01.2017 01:15;11.086,75;7.922,75;594,50
02.01.2017 01:15;02.01.2017 01:30;10.997,00;7.780,50;656,50
02.01.2017 01:30;02.01.2017 01:45;10.856,75;7.634,00;717,25
02.01.2017 01:45;02.01.2017 02:00;10.745,25;7.585,50;709,25
02.01.2017 02:00;02.01.2017 02:15;10.749,00;7.614,50;556,00
02.01.2017 02:15;02.01.2017 02:30;10.688,50;7.585,00;674,50
02.01.2017 02:30;02.01.2017 02:45;10.663,50;7.569,50;766,25
02.01.2017 02:45;02.01.2017 03:00;10.630,25;7.534,75;804,75
02.01.2017 03:00;02.01.2017 03:15;10.647,50;7.528,75;805,50
02.01.2017 03:15;02.01.2017 03:30;10.626,00;7.533,00;830,25
02.01.2017 03:30;02.01.2017 03:45;10.832,25;7.798,25;831,25
02.01.2017 03:45;02.01.2017 04:00;10.873,00;7.861,50;894,00
02.01.2017 04:00;02.01.2017 04:15;10.905,25;7.919,75;800,00
02.01.2017 04:15;02.01.2017 04:30;11.099,50;8.181,00;725,75
02.01.2017 04:30;02.01.2017 04:45;11.213,25;8.329,25;650,50
02.01.2017 04:45;02.01.2017 05:00;11.261,00;8.377,25;737,00
02.01.2017 05:00;02.01.2017 05:15;11.437,50;8.554,50;913,00
02.01.2017 05:15;02.01.2017 05:30;11.644,50;8.790,50;933,00
02.01.2017 05:30;02.01.2017 05:45;11.909,75;9.043,00;847,75
02.01.2017 05:45;02.01.2017 06:00;12.213,00;9.290,50;611,25
02.01.2017 06:00;02.01.2017 06:15;12.641,25;9.699,00;747,25
02.01.2017 06:15;02.01.2017 06:30;13.102,75;10.143,25;514,00
02.01.2017 06:30;02.01.2017 06:45;13.545,25;10.592,25;374,75
02.01.2017 06:45;02.01.2017 07:00;13.927,25;11.050,00;236,25
02.01.2017 07:00;02.01.2017 07:15;14.383,50;11.553,50;276,25
02.01.2017 07:15;02.01.2017 07:30;14.817,50;11.962,25;226,75
02.01.2017 07:30;02.01.2017 07:45;15.134,00;12.198,00;32,00
02.01.2017 07:45;02.01.2017 08:00;15.512,00;12.554,50;63,00
02.01.2017 08:00;02.01.2017 08:15;15.748,00;12.854,50;15,75
02.01.2017 08:15;02.01.2017 08:30;15.885,25;13.044,75;29,75
02.01.2017 08:30;02.01.2017 08:45;16.037,00;13.225,00;52,25
02.01.2017 08:45;02.01.2017 09:00;16.174,50;13.434,25;48,75
02.01.2017 09:00;02.01.2017 09:15;16.275,50;13.534,25;40,75
02.01.2017 09:15;02.01.2017 09:30;16.432,00;13.686,00;9,25
02.01.2017 09:30;02.01.2017 09:45;16.638,00;13.843,00;0,25
02.01.2017 09:45;02.01.2017 10:00;16.682,50;13.816,00;0,75
02.01.2017 10:00;02.01.2017 10:15;16.792,00;13.859,00;1,25
02.01.2017 10:15;02.01.2017 10:30;16.851,00;13.913,50;1,00
02.01.2017 10:30;02.01.2017 10:45;16.956,25;13.996,50;1,25
02.01.2017 10:45;02.01.2017 11:00;17.049,50;14.068,25;1,00
02.01.2017 11:00;02.01.2017 11:15;17.107,25;14.136,25;1,25
02.01.2017 11:15;02.01.2017 11:30;17.191,00;14.172,25;1,00
02.01.2017 11:30;02.01.2017 11:45;17.219,25;14.199,75;2,00
02.01.2017 11:45;02.01.2017 12:00;17.259,25;14.188,50;2,00
02.01.2017 12:00;02.01.2017 12:15;17.250,25;14.096,75;2,00
02.01.2017 12:15;02.01.2017 12:30;17.229,75;14.039,25;0,50
02.01.2017 12:30;02.01.2017 12:45;17.203,25;13.989,25;1,25
02.01.2017 12:45;02.01.2017 13:00;17.141,25;13.905,25;1,50
02.01.2017 13:00;02.01.2017 13:15;17.184,50;13.977,75;1,75
02.01.2017 13:15;02.01.2017 13:30;17.040,00;13.929,25;1,50
02.01.2017 13:30;02.01.2017 13:45;16.916,00;13.820,25;1,50
02.01.2017 13:45;02.01.2017 14:00;16.709,75;13.572,25;63,00
02.01.2017 14:00;02.01.2017 14:15;16.728,75;13.662,25;12,50
02.01.2017 14:15;02.01.2017 14:30;16.751,25;13.715,00;1,50
02.01.2017 14:30;02.01.2017 14:45;16.697,50;13.692,50;10,25
02.01.2017 14:45;02.01.2017 15:00;16.567,75;13.635,25;25,75
02.01.2017 15:00;02.01.2017 15:15;16.643,50;13.813,75;22,75
02.01.2017 15:15;02.01.2017 15:30;16.589,00;13.851,25;11,50
02.01.2017 15:30;02.01.2017 15:45;16.541,25;13.844,25;28,75
02.01.2017 15:45;02.01.2017 16:00;16.481,75;13.755,00;38,25
02.01.2017 16:00;02.01.2017 16:15;16.530,75;13.858,25;73,00
02.01.2017 16:15;02.01.2017 16:30;16.661,50;13.994,00;71,25
02.01.2017 16:30;02.01.2017 16:45;16.922,50;14.165,00;2,00
02.01.2017 16:45;02.01.2017 17:00;17.176,50;14.349,25;1,00
02.01.2017 17:00;02.01.2017 17:15;17.475,75;14.598,75;74,50
02.01.2017 17:15;02.01.2017 17:30;17.622,25;14.712,25;52,50
02.01.2017 17:30;02.01.2017 17:45;17.676,75;14.691,25;30,50
02.01.2017 17:45;02.01.2017 18:00;17.688,75;14.599,50;52,25
02.01.2017 18:00;02.01.2017 18:15;17.610,75;14.438,25;39,75
02.01.2017 18:15;02.01.2017 18:30;17.526,00;14.253,25;144,50
02.01.2017 18:30;02.01.2017 18:45;17.451,25;14.075,00;202,00
02.01.2017 18:45;02.01.2017 19:00;17.466,75;14.076,75;112,50
02.01.2017 19:00;02.01.2017 19:15;17.374,25;13.983,50;9,25
02.01.2017 19:15;02.01.2017 19:30;17.265,50;13.817,50;0,25
02.01.2017 19:30;02.01.2017 19:45;17.167,00;13.696,25;0,25
02.01.2017 19:45;02.01.2017 20:00;17.050,00;13.657,25;0,00
02.01.2017 20:00;02.01.2017 20:15;16.682,25;13.208,75;30,75
02.01.2017 20:15;02.01.2017 20:30;16.379,00;12.926,00;87,25
02.01.2017 20:30;02.01.2017 20:45;16.103,25;12.624,75;109,25
02.01.2017 20:45;02.01.2017 21:00;15.826,25;12.336,25;208,25
02.01.2017 21:00;02.01.2017 21:15;15.687,25;12.173,50;39,50
02.01.2017 21:15;02.01.2017 21:30;15.476,75;11.955,50;45,00
02.01.2017 21:30;02.01.2017 21:45;15.290,75;11.752,25;74,50
02.01.2017 21:45;02.01.2017 22:00;15.187,00;11.610,25;79,75
02.01.2017 22:00;02.01.2017 22:15;15.319,50;11.730,25;37,75
02.01.2017 22:15;02.01.2017 22:30;15.125,75;11.472,00;5,50
02.01.2017 22:30;02.01.2017 22:45;14.943,25;11.252,75;48,25
02.01.2017 22:45;02.01.2017 23:00;14.686,75;11.007,50;55,75
02.01.2017 23:00;02.01.2017 23:15;14.476,50;10.705,50;43,75
02.01.2017 23:15;02.01.2017 23:30;14.244,25;10.386,50;250,25
02.01.2017 23:30;02.01.2017 23:45;14.005,25;10.095,75;454,25
02.01.2017 23:45;03.01.2017 00:00;13.765,75;9.759,75;579,00
03.01.2017 00:00;03.01.2017 00:15;13.637,00;9.614,25;443,75
03.01.2017 00:15;03.01.2017 00:30;13.397,50;9.345,00;460,00
03.01.2017 00:30;03.01.2017 00:45;13.190,25;9.079,50;492,50
03.01.2017 00:45;03.01.2017 01:00;12.881,75;8.742,00;780,50
03.01.2017 01:00;03.01.2017 01:15;12.801,25;8.694,75;647,00
03.01.2017 01:15;03.01.2017 01:30;12.671,75;8.545,25;660,00
03.01.2017 01:30;03.01.2017 01:45;12.575,75;8.461,00;709,50
03.01.2017 01:45;03.01.2017 02:00;12.488,25;8.346,25;692,75
03.01.2017 02:00;03.01.2017 02:15;12.389,25;8.202,00;640,75
03.01.2017 02:15;03.01.2017 02:30;12.333,25;8.136,00;679,25
03.01.2017 02:30;03.01.2017 02:45;12.303,75;8.038,75;714,25
03.01.2017 02:45;03.01.2017 03:00;12.277,75;7.949,25;705,50
03.01.2017 03:00;03.01.2017 03:15;12.324,00;7.925,50;392,75
03.01.2017 03:15;03.01.2017 03:30;12.262,50;7.859,75;575,25
03.01.2017 03:30;03.01.2017 03:45;12.309,25;7.728,50;621,75
03.01.2017 03:45;03.01.2017 04:00;12.285,00;7.658,50;657,75
03.01.2017 04:00;03.01.2017 04:15;12.423,00;7.817,00;621,75
03.01.2017 04:15;03.01.2017 04:30;12.519,25;7.874,75;602,50
03.01.2017 04:30;03.01.2017 04:45;12.619,75;7.906,00;585,25
03.01.2017 04:45;03.01.2017 05:00;12.675,00;7.904,25;576,50
03.01.2017 05:00;03.01.2017 05:15;12.844,50;8.017,25;653,00
