Jahr_von;Zeit_von;Waermepumpe[in kWh];Elektroauto[Tagesnormiert];ELKW[Tagesnormiert]
01.01.2020;15:30:00;0,159702028;0,010100414;0
01.01.2020;15:45:00;0,159745514;0,010089402;0
01.01.2020;16:00:00;0,160874272;0,010227053;0
01.01.2020;16:15:00;0,161482519;0,010564758;0
01.01.2020;16:30:00;0,162731731;0,011029101;0
01.01.2020;16:45:00;0,162984161;0,011538309;0
01.01.2020;17:00:00;0,163031345;0,011931832;0,016666667
01.01.2020;17:15:00;0,163582988;0,012836004;0,016666667
01.01.2020;17:30:00;0,163505688;0,013694031;0,016666667
01.01.2020;17:45:00;0,163570536;0,01414828;0,016666667
01.01.2020;18:00:00;0,164771687;0,015026496;0,016666667
01.01.2020;18:15:00;0,166070044;0,01541816;0,016666667
01.01.2020;18:30:00;0,167618113;0,01650432;0,016666667
01.01.2020;18:45:00;0,16984031;0,016981931;0,016666667
01.01.2020;19:00:00;0,171121404;0,017386757;0,016666667
01.01.2020;19:15:00;0,172567982;0,017588646;0,016666667
01.01.2020;19:30:00;0,174009446;0,017496878;0,016666667
01.01.2020;19:45:00;0,17445894;0,017175488;0,016666667
01.01.2020;20:00:00;0,175331708;0,016742549;0,016666667
01.01.2020;20:15:00;0,177360015;0,01618399;0,016666667
01.01.2020;20:30:00;0,179453814;0,015698785;0,016666667
01.01.2020;20:45:00;0,179967067;0,015279978;0,016666667
01.01.2020;21:00:00;0,180537141;0,014310913;0,016666667
01.01.2020;21:15:00;0,180770336;0,014213894;0,016666667
01.01.2020;21:30:00;0,181744243;0,014786065;0,016666667
01.01.2020;21:45:00;0,182728965;0,014368339;0,016666667
01.01.2020;22:00:00;0,182056659;0,013461859;0,016666667
01.01.2020;22:15:00;0,18215414;0,011558049;0,016666667
01.01.2020;22:30:00;0,181226742;0,011093706;0,016666667
01.01.2020;22:45:00;0,180146569;0,009757203;0,016666667
01.01.2020;23:00:00;0,17817465;0,009292321;0,016666667
01.01.2020;23:15:00;0,178437237;0,008360134;0,016666667
01.01.2020;23:30:00;0,178047212;0,008360134;0,016666667
01.01.2020;23:45:00;0,177368468;0,008360134;0,016666667
02.01.2020;00:00:00;0,190352521;0,007415295;0,016666667
02.01.2020;00:15:00;0,190388604;0,006954316;0,016666667
02.01.2020;00:30:00;0,19096227;0,006489973;0,016666667
02.01.2020;00:45:00;0,190804031;0,006046939;0,016666667
02.01.2020;01:00:00;0,190685079;0,005589121;0,016666667
02.01.2020;01:15:00;0,190035239;0,005211039;0,016666667
02.01.2020;01:30:00;0,190004319;0,00486948;0,016666667
02.01.2020;01:45:00;0,190580057;0,004399814;0,016666667
02.01.2020;02:00:00;0,190946819;0,004308046;0,016666667
02.01.2020;02:15:00;0,190888666;0,004232797;0,016666667
02.01.2020;02:30:00;0,190522068;0,004194255;0,016666667
02.01.2020;02:45:00;0,19084782;0,004194255;0,016666667
02.01.2020;03:00:00;0,191973055;0,004219949;0,016666667
02.01.2020;03:15:00;0,193417945;0,004150206;0,016666667
02.01.2020;03:30:00;0,193325717;0,004135523;0,016666667
02.01.2020;03:45:00;0,193015839;0,004227291;0,016666667
02.01.2020;04:00:00;0,192876985;0,004227291;0,016666667
02.01.2020;04:15:00;0,192576892;0,004293363;0,016666667
02.01.2020;04:30:00;0,192813341;0,004574434;0,016666667
02.01.2020;04:45:00;0,193195472;0,005438622;0,016666667
02.01.2020;05:00:00;0,193277794;0,005677035;0,016666667
02.01.2020;05:15:00;0,192925101;0,006252417;0,016666667
02.01.2020;05:30:00;0,193505758;0,007157887;0,016666667
02.01.2020;05:45:00;0,193711498;0,007633335;0,016666667
02.01.2020;06:00:00;0,193820706;0,008616533;0,016666667
02.01.2020;06:15:00;0,194811077;0,010044894;0,016666667
02.01.2020;06:30:00;0,194697625;0,011006028;0,016666667
02.01.2020;06:45:00;0,194861826;0,011311745;0,016666667
02.01.2020;07:00:00;0,195913233;0,012076903;0,016666667
02.01.2020;07:15:00;0,19628176;0,012076903;0
02.01.2020;07:30:00;0,195885049;0,012110123;0
02.01.2020;07:45:00;0,195316161;0,011667574;0
02.01.2020;08:00:00;0,194393583;0,011210801;0
02.01.2020;08:15:00;0,193951069;0,010743934;0
02.01.2020;08:30:00;0,194090622;0,010280095;0
02.01.2020;08:45:00;0,193318446;0,010039847;0
02.01.2020;09:00:00;0,193342801;0,010087566;0
02.01.2020;09:15:00;0,192720064;0,010164651;0
02.01.2020;09:30:00;0,191250437;0,010324327;0
02.01.2020;09:45:00;0,190363618;0,010324327;0
02.01.2020;10:00:00;0,189205402;0,010476661;0
02.01.2020;10:15:00;0,187647107;0,010553745;0
02.01.2020;10:30:00;0,186210875;0,010755634;0
02.01.2020;10:45:00;0,185180294;0,011236037;0
02.01.2020;11:00:00;0,183300212;0,011634767;0
02.01.2020;11:15:00;0,181302525;0,012094064;0
02.01.2020;11:30:00;0,179722793;0,012477193;0
02.01.2020;11:45:00;0,177248082;0,012273469;0,016666667
02.01.2020;12:00:00;0,176043169;0,012027532;0,016666667
02.01.2020;12:15:00;0,175341707;0,011897222;0,016666667
02.01.2020;12:30:00;0,173905726;0,011897222;0
02.01.2020;12:45:00;0,173407783;0,011897222;0
02.01.2020;13:00:00;0,173276648;0,011897222;0
02.01.2020;13:15:00;0,172305686;0,011794443;0
02.01.2020;13:30:00;0,171860401;0,011526481;0
02.01.2020;13:45:00;0,171568917;0,011480598;0
02.01.2020;14:00:00;0,171525026;0,011275038;0
02.01.2020;14:15:00;0,171466006;0,011275038;0
02.01.2020;14:30:00;0,170957388;0,010990559;0
02.01.2020;14:45:00;0,17100797;0,010623489;0
02.01.2020;15:00:00;0,171742849;0,010271101;0
02.01.2020;15:15:00;0,171434107;0,010100414;0
02.01.2020;15:30:00;0,170622344;0,010100414;0
02.01.2020;15:45:00;0,170663414;0,010089402;0
02.01.2020;16:00:00;0,171729464;0,010227053;0
02.01.2020;16:15:00;0,172303919;0,010564758;0
02.01.2020;16:30:00;0,17348373;0,011029101;0
02.01.2020;16:45:00;0,173722136;0,011538309;0
02.01.2020;17:00:00;0,173766699;0,011931832;0,016666667
02.01.2020;17:15:00;0,174287695;0,012836004;0,016666667
02.01.2020;17:30:00;0,17421469;0,013694031;0,016666667
02.01.2020;17:45:00;0,174275935;0,01414828;0,016666667
02.01.2020;18:00:00;0,175410356;0,015026496;0,016666667
02.01.2020;18:15:00;0,176636581;0,01541816;0,016666667
02.01.2020;18:30:00;0,178098646;0,01650432;0,016666667
02.01.2020;18:45:00;0,180197388;0,016981931;0,016666667
02.01.2020;19:00:00;0,18140731;0,017386757;0,016666667
02.01.2020;19:15:00;0,182773523;0,017588646;0,016666667
02.01.2020;19:30:00;0,184134905;0,017496878;0,016666667
02.01.2020;19:45:00;0,184559428;0,017175488;0,016666667
02.01.2020;20:00:00;0,185383708;0,016742549;0,016666667
02.01.2020;20:15:00;0,187299332;0,01618399;0,016666667
02.01.2020;20:30:00;0,189276809;0,015698785;0,016666667
02.01.2020;20:45:00;0,189761548;0,015279978;0,016666667
02.01.2020;21:00:00;0,190299951;0,014310913;0,016666667
02.01.2020;21:15:00;0,190520191;0,014213894;0,016666667
02.01.2020;21:30:00;0,191439991;0,014786065;0,016666667
02.01.2020;21:45:00;0,192370006;0,014368339;0,016666667
02.01.2020;22:00:00;0,191735051;0,013461859;0,016666667
02.01.2020;22:15:00;0,191827116;0,011558049;0,016666667
02.01.2020;22:30:00;0,19095124;0,011093706;0,016666667
02.01.2020;22:45:00;0,189931077;0,009757203;0,016666667
02.01.2020;23:00:00;0,18806871;0,009292321;0,016666667
02.01.2020;23:15:00;0,188316708;0,008360134;0,016666667
02.01.2020;23:30:00;0,187948351;0,008360134;0,016666667
02.01.2020;23:45:00;0,187307315;0,008360134;0,016666667
03.01.2020;00:00:00;0,161073369;0,007415295;0,016666667
03.01.2020;00:15:00;0,16111582;0,006954316;0,016666667
03.01.2020;00:30:00;0,161790721;0,006489973;0,016666667
03.01.2020;00:45:00;0,161604558;0,006046939;0,016666667
03.01.2020;01:00:00;0,161464613;0,005589121;0,016666667
03.01.2020;01:15:00;0,160700097;0,005211039;0,016666667
03.01.2020;01:30:00;0,16066372;0,00486948;0,016666667
03.01.2020;01:45:00;0,161341058;0,004399814;0,016666667
03.01.2020;02:00:00;0,161772543;0,004308046;0,016666667
03.01.2020;02:15:00;0,161704128;0,004232797;0,016666667
03.01.2020;02:30:00;0,161272836;0,004194255;0,016666667
03.01.2020;02:45:00;0,161656073;0,004194255;0,016666667
03.01.2020;03:00:00;0,162979879;0,004219949;0,016666667
03.01.2020;03:15:00;0,16467975;0,004150206;0,016666667
03.01.2020;03:30:00;0,164571246;0,004135523;0,016666667
03.01.2020;03:45:00;0,164206684;0,004227291;0,016666667
03.01.2020;04:00:00;0,164043327;0,004227291;0,016666667
03.01.2020;04:15:00;0,163690276;0,004293363;0,016666667
03.01.2020;04:30:00;0,163968451;0,004574434;0,016666667
03.01.2020;04:45:00;0,164418017;0,005438622;0,016666667
03.01.2020;05:00:00;0,164514866;0,005677035;0,016666667
03.01.2020;05:15:00;0,164099933;0,006252417;0,016666667
03.01.2020;05:30:00;0,164783059;0,007157887;0,016666667
03.01.2020;05:45:00;0,165025107;0,007633335;0,016666667
03.01.2020;06:00:00;0,165153586;0,008616533;0,016666667
03.01.2020;06:15:00;0,166318729;0,010044894;0,016666667
03.01.2020;06:30:00;0,166185256;0,011006028;0,016666667
03.01.2020;06:45:00;0,166378434;0,011311745;0,016666667
03.01.2020;07:00:00;0,167615383;0,012076903;0,016666667
03.01.2020;07:15:00;0,168048944;0,012076903;0
03.01.2020;07:30:00;0,167582226;0,012110123;0
03.01.2020;07:45:00;0,166912945;0,011667574;0
03.01.2020;08:00:00;0,16582756;0,011210801;0
03.01.2020;08:15:00;0,165306955;0,010743934;0
03.01.2020;08:30:00;0,165471135;0,010280095;0
03.01.2020;08:45:00;0,164562693;0,010039847;0
03.01.2020;09:00:00;0,164591346;0,010087566;0
03.01.2020;09:15:00;0,163858714;0,010164651;0
03.01.2020;09:30:00;0,162129741;0,010324327;0
03.01.2020;09:45:00;0,161086424;0,010324327;0
03.01.2020;10:00:00;0,159723818;0,010476661;0
03.01.2020;10:15:00;0,157890529;0,010553745;0
03.01.2020;10:30:00;0,156200845;0,010755634;0
03.01.2020;10:45:00;0,154988397;0,011236037;0
03.01.2020;11:00:00;0,152776535;0,011634767;0
03.01.2020;11:15:00;0,150426315;0,012094064;0
03.01.2020;11:30:00;0,148567807;0,012477193;0
03.01.2020;11:45:00;0,145656382;0,012273469;0,016666667
03.01.2020;12:00:00;0,144238837;0,012027532;0,016666667
03.01.2020;12:15:00;0,143413588;0,011897222;0,016666667
03.01.2020;12:30:00;0,141724199;0,011897222;0
03.01.2020;12:45:00;0,141138384;0,011897222;0
03.01.2020;13:00:00;0,140984106;0,011897222;0
03.01.2020;13:15:00;0,139841799;0,011794443;0
03.01.2020;13:30:00;0,139317933;0,011526481;0
03.01.2020;13:45:00;0,138975011;0,011480598;0
03.01.2020;14:00:00;0,138923375;0,011275038;0
03.01.2020;14:15:00;0,13885394;0,011275038;0
03.01.2020;14:30:00;0,138255565;0,010990559;0
03.01.2020;14:45:00;0,138315074;0,010623489;0
03.01.2020;15:00:00;0,139179637;0,010271101;0
03.01.2020;15:15:00;0,138816411;0,010100414;0
03.01.2020;15:30:00;0,137861396;0,010100414;0
03.01.2020;15:45:00;0,137909714;0,010089402;0
03.01.2020;16:00:00;0,13916389;0,010227053;0
03.01.2020;16:15:00;0,139839719;0,010564758;0
