Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2022 00:00;01.01.2022 00:15;11.161,50;3.194,25;600,00
01.01.2022 00:15;01.01.2022 00:30;11.058,75;3.135,75;628,25
01.01.2022 00:30;01.01.2022 00:45;10.931,75;3.128,75;682,75
01.01.2022 00:45;01.01.2022 01:00;10.763,50;2.992,25;696,00
01.01.2022 01:00;01.01.2022 01:15;10.549,00;2.914,25;586,75
01.01.2022 01:15;01.01.2022 01:30;10.451,00;2.851,00;649,50
01.01.2022 01:30;01.01.2022 01:45;10.285,25;2.797,00;700,00
01.01.2022 01:45;01.01.2022 02:00;10.250,50;2.916,75;727,25
01.01.2022 02:00;01.01.2022 02:15;10.294,50;2.987,50;712,25
01.01.2022 02:15;01.01.2022 02:30;10.158,75;2.937,00;724,50
01.01.2022 02:30;01.01.2022 02:45;10.040,50;2.951,00;753,50
01.01.2022 02:45;01.01.2022 03:00;9.987,00;2.942,25;733,25
01.01.2022 03:00;01.01.2022 03:15;9.917,50;2.957,00;791,25
01.01.2022 03:15;01.01.2022 03:30;9.890,00;3.008,25;846,00
01.01.2022 03:30;01.01.2022 03:45;9.886,75;3.116,50;820,75
01.01.2022 03:45;01.01.2022 04:00;9.869,75;3.100,25;869,75
01.01.2022 04:00;01.01.2022 04:15;9.862,25;3.257,75;942,75
01.01.2022 04:15;01.01.2022 04:30;9.819,75;3.190,75;927,50
01.01.2022 04:30;01.01.2022 04:45;9.871,25;3.400,00;871,50
01.01.2022 04:45;01.01.2022 05:00;9.785,00;3.407,25;820,00
01.01.2022 05:00;01.01.2022 05:15;9.778,00;3.583,75;741,25
01.01.2022 05:15;01.01.2022 05:30;9.731,50;3.685,25;718,75
01.01.2022 05:30;01.01.2022 05:45;9.700,00;3.780,00;732,25
01.01.2022 05:45;01.01.2022 06:00;9.617,00;3.750,25;706,50
01.01.2022 06:00;01.01.2022 06:15;9.589,50;3.672,00;684,00
01.01.2022 06:15;01.01.2022 06:30;9.597,25;3.694,25;576,00
01.01.2022 06:30;01.01.2022 06:45;9.599,25;3.662,25;545,50
01.01.2022 06:45;01.01.2022 07:00;9.627,00;3.693,25;531,75
01.01.2022 07:00;01.01.2022 07:15;9.742,00;3.883,00;604,00
01.01.2022 07:15;01.01.2022 07:30;9.725,50;3.985,00;478,00
01.01.2022 07:30;01.01.2022 07:45;9.781,25;4.142,00;417,75
01.01.2022 07:45;01.01.2022 08:00;9.827,50;4.258,75;414,00
01.01.2022 08:00;01.01.2022 08:15;9.993,25;4.597,00;515,25
01.01.2022 08:15;01.01.2022 08:30;10.068,25;4.837,00;426,75
01.01.2022 08:30;01.01.2022 08:45;10.084,50;4.916,25;395,25
01.01.2022 08:45;01.01.2022 09:00;10.153,25;4.905,50;374,50
01.01.2022 09:00;01.01.2022 09:15;10.442,25;5.085,50;477,25
01.01.2022 09:15;01.01.2022 09:30;10.580,75;5.138,50;387,50
01.01.2022 09:30;01.01.2022 09:45;10.708,75;5.270,00;316,25
01.01.2022 09:45;01.01.2022 10:00;10.778,25;5.304,25;305,25
01.01.2022 10:00;01.01.2022 10:15;10.896,00;5.380,75;350,50
01.01.2022 10:15;01.01.2022 10:30;11.034,50;5.506,50;369,25
01.01.2022 10:30;01.01.2022 10:45;11.154,25;5.563,25;294,00
01.01.2022 10:45;01.01.2022 11:00;11.297,25;5.696,50;267,25
01.01.2022 11:00;01.01.2022 11:15;11.470,75;5.913,75;363,75
01.01.2022 11:15;01.01.2022 11:30;11.653,00;5.994,50;402,75
01.01.2022 11:30;01.01.2022 11:45;11.804,00;6.096,25;430,00
01.01.2022 11:45;01.01.2022 12:00;11.804,25;6.145,75;305,75
01.01.2022 12:00;01.01.2022 12:15;11.822,00;6.104,25;203,25
01.01.2022 12:15;01.01.2022 12:30;11.834,75;6.057,00;158,25
01.01.2022 12:30;01.01.2022 12:45;11.931,75;6.208,50;165,00
01.01.2022 12:45;01.01.2022 13:00;11.725,25;6.097,25;162,50
01.01.2022 13:00;01.01.2022 13:15;11.639,25;6.158,25;161,75
01.01.2022 13:15;01.01.2022 13:30;11.562,25;6.206,75;265,50
01.01.2022 13:30;01.01.2022 13:45;11.595,00;6.394,25;270,00
01.01.2022 13:45;01.01.2022 14:00;11.594,75;6.556,25;234,00
01.01.2022 14:00;01.01.2022 14:15;11.478,00;6.570,50;197,75
01.01.2022 14:15;01.01.2022 14:30;11.421,75;6.698,75;142,25
01.01.2022 14:30;01.01.2022 14:45;11.413,75;6.838,50;149,25
01.01.2022 14:45;01.01.2022 15:00;11.415,00;6.982,25;127,50
01.01.2022 15:00;01.01.2022 15:15;11.432,00;7.134,25;140,25
01.01.2022 15:15;01.01.2022 15:30;11.382,25;7.252,00;102,75
01.01.2022 15:30;01.01.2022 15:45;11.401,50;7.376,00;28,00
01.01.2022 15:45;01.01.2022 16:00;11.467,25;7.451,50;24,75
01.01.2022 16:00;01.01.2022 16:15;11.646,00;7.582,25;24,00
01.01.2022 16:15;01.01.2022 16:30;11.810,25;7.676,50;23,75
01.01.2022 16:30;01.01.2022 16:45;12.074,25;7.841,25;7,75
01.01.2022 16:45;01.01.2022 17:00;12.373,25;8.004,25;3,00
01.01.2022 17:00;01.01.2022 17:15;12.675,25;8.152,25;2,75
01.01.2022 17:15;01.01.2022 17:30;12.848,50;8.198,50;4,25
01.01.2022 17:30;01.01.2022 17:45;13.016,25;8.226,25;39,25
01.01.2022 17:45;01.01.2022 18:00;13.080,50;8.169,00;40,00
01.01.2022 18:00;01.01.2022 18:15;13.151,50;8.097,25;39,75
01.01.2022 18:15;01.01.2022 18:30;13.197,50;8.031,25;34,75
01.01.2022 18:30;01.01.2022 18:45;13.145,00;7.871,25;39,75
01.01.2022 18:45;01.01.2022 19:00;13.101,25;7.645,25;39,50
01.01.2022 19:00;01.01.2022 19:15;13.034,00;7.411,00;37,50
01.01.2022 19:15;01.01.2022 19:30;12.970,50;7.274,25;61,00
01.01.2022 19:30;01.01.2022 19:45;12.884,75;7.092,25;61,50
01.01.2022 19:45;01.01.2022 20:00;12.730,75;6.846,00;53,50
01.01.2022 20:00;01.01.2022 20:15;12.645,25;6.640,00;60,75
01.01.2022 20:15;01.01.2022 20:30;12.490,75;6.463,00;63,25
01.01.2022 20:30;01.01.2022 20:45;12.336,25;6.278,00;42,00
01.01.2022 20:45;01.01.2022 21:00;12.210,50;6.114,00;39,75
01.01.2022 21:00;01.01.2022 21:15;12.124,75;6.019,50;18,25
01.01.2022 21:15;01.01.2022 21:30;11.997,00;5.811,00;50,50
01.01.2022 21:30;01.01.2022 21:45;11.994,00;5.758,25;69,25
01.01.2022 21:45;01.01.2022 22:00;11.936,25;5.629,00;82,75
01.01.2022 22:00;01.01.2022 22:15;12.022,75;5.813,00;128,50
01.01.2022 22:15;01.01.2022 22:30;11.948,00;5.633,50;134,75
01.01.2022 22:30;01.01.2022 22:45;11.825,25;5.463,00;132,50
01.01.2022 22:45;01.01.2022 23:00;11.680,75;5.304,75;119,25
01.01.2022 23:00;01.01.2022 23:15;11.467,00;5.089,00;18,50
01.01.2022 23:15;01.01.2022 23:30;11.316,00;4.871,50;81,50
01.01.2022 23:30;01.01.2022 23:45;11.166,25;4.719,00;146,25
01.01.2022 23:45;02.01.2022 00:00;10.922,50;4.463,00;345,25
02.01.2022 00:00;02.01.2022 00:15;10.724,00;4.188,00;636,50
02.01.2022 00:15;02.01.2022 00:30;10.672,50;4.143,75;959,25
02.01.2022 00:30;02.01.2022 00:45;10.709,75;4.268,75;1.015,50
02.01.2022 00:45;02.01.2022 01:00;10.565,75;4.254,50;953,25
02.01.2022 01:00;02.01.2022 01:15;10.554,50;4.181,50;982,00
02.01.2022 01:15;02.01.2022 01:30;10.365,75;3.884,75;1.100,50
02.01.2022 01:30;02.01.2022 01:45;10.266,00;3.685,75;1.166,75
02.01.2022 01:45;02.01.2022 02:00;10.296,75;4.144,00;1.033,50
02.01.2022 02:00;02.01.2022 02:15;10.272,00;4.141,25;967,50
02.01.2022 02:15;02.01.2022 02:30;10.196,25;3.937,00;1.061,25
02.01.2022 02:30;02.01.2022 02:45;10.171,25;3.994,00;1.051,75
02.01.2022 02:45;02.01.2022 03:00;10.126,00;3.953,75;1.062,50
02.01.2022 03:00;02.01.2022 03:15;10.106,25;3.944,50;960,25
02.01.2022 03:15;02.01.2022 03:30;10.112,50;3.812,50;949,75
02.01.2022 03:30;02.01.2022 03:45;10.141,50;3.800,25;983,50
02.01.2022 03:45;02.01.2022 04:00;10.176,25;3.885,25;1.024,75
02.01.2022 04:00;02.01.2022 04:15;10.228,25;4.229,50;1.026,25
02.01.2022 04:15;02.01.2022 04:30;10.118,75;4.140,50;1.029,00
02.01.2022 04:30;02.01.2022 04:45;10.177,00;4.130,25;1.045,25
02.01.2022 04:45;02.01.2022 05:00;10.189,00;4.219,00;1.009,25
02.01.2022 05:00;02.01.2022 05:15;10.236,75;4.066,50;1.028,50
02.01.2022 05:15;02.01.2022 05:30;10.152,75;3.948,75;1.022,75
02.01.2022 05:30;02.01.2022 05:45;10.177,00;4.093,75;946,00
02.01.2022 05:45;02.01.2022 06:00;10.180,00;4.316,25;916,75
02.01.2022 06:00;02.01.2022 06:15;10.075,00;3.900,75;683,50
02.01.2022 06:15;02.01.2022 06:30;10.054,25;3.946,00;556,25
02.01.2022 06:30;02.01.2022 06:45;10.089,25;3.777,00;464,75
02.01.2022 06:45;02.01.2022 07:00;10.179,00;3.954,25;458,00
02.01.2022 07:00;02.01.2022 07:15;10.324,75;4.091,50;437,25
02.01.2022 07:15;02.01.2022 07:30;10.473,75;4.061,50;417,00
02.01.2022 07:30;02.01.2022 07:45;10.640,00;4.100,75;340,75
